42800      '49,2576'   06.03.2017
42801      '50,122'    07.03.2017
42802      '49,5628'   08.03.2017
42803      '49,0687'   09.03.2017
42804      '49,5371'   10.03.2017
42805      '49,7284'   11.03.2017
42806      '49,9847'   12.03.2017
42807      '49,9817'   13.03.2017
42808      '49,9733'   14.03.2017
42809      '50,9499'   15.03.2017
42810      '51,9873'   16.03.2017
42811      '52,5899'   17.03.2017
42812      '52,3212'   18.03.2017
42813      '53,6187'   19.03.2017
42814      '52,8647'   20.03.2017
42815      '54,2938'   21.03.2017
42816      '56,4487'   22.03.2017
42817      '56,2446'   23.03.2017
42818      '55,9969'   24.03.2017
42819      '55,5456'   25.03.2017
42820      '54,3462'   26.03.2017
42821      '54,7913'   27.03.2017
42822      '55,191'    28.03.2017
42823      '54,5077'   29.03.2017
42824      '53,7588'   30.03.2017
42825      '53,6084'   31.03.2017
42826      '53,4641'   01.04.2017
42827      '54,0064'   02.04.2017
42828      '53,9301'   03.04.2017
42829      '53,8511'   04.04.2017
42830      '54,4662'   05.04.2017
42831      '54,716'    06.04.2017
42832      '54,806'    07.04.2017
42833      '55,7448'   08.04.2017
42834      '55,2806'   09.04.2017
42835      '55,8397'   10.04.2017
42836      '55,5334'   11.04.2017
42837      '55,9773'   12.04.2017
42838      '56,8816'   13.04.2017
42839      '56,7309'   14.04.2017
42840      '57,4966'   15.04.2017
42841      '57,1921'   16.04.2017
42842      '56,3876'   17.04.2017
42843      '56,541'    18.04.2017
42844      '56,4068'   19.04.2017
42845      '56,952'    20.04.2017
42846      '56,9496'   21.04.2017
42847      '56,9669'   22.04.2017
42848      '56,9939'   23.04.2017
42849      '56,9346'   24.04.2017
42850      '57,4359'   25.04.2017
42851      '57,8501'   26.04.2017
42852      '58,4299'   27.04.2017
42853      '59,6501'   28.04.2017
42854      '60,0155'   29.04.2017
42855      '58,6778'   30.04.2017
42856      '59,727'    01.05.2017
42857      '61,7417'   02.05.2017
42858      '63,5263'   03.05.2017
42859      '63,0518'   04.05.2017
42860      '63,4619'   05.05.2017
42861      '64,0149'   06.05.2017
42862      '64,037'    07.05.2017
42863      '62,873'    08.05.2017
42864      '64,2719'   09.05.2017
42865      '64,2518'   10.05.2017
42866      '64,6977'   11.05.2017
42867      '64,9938'   12.05.2017
42868      '65,5'      13.05.2017
42869      '65,8717'   14.05.2017
42870      '66,6027'   15.05.2017
42871      '67,9297'   16.05.2017
42872      '69,133'    17.05.2017
42873      '70,8892'   18.05.2017
42874      '69,0514'   19.05.2017
42875      '68,9066'   20.05.2017
42876      '66,0333'   21.05.2017
42877      '65,423'    22.05.2017
42878      '64,2768'   23.05.2017
42879      '66,7987'   24.05.2017
42880      '67,0242'   25.05.2017
42881      '67,193'    26.05.2017
42882      '68,4838'   27.05.2017
42883      '69,098'    28.05.2017
42884      '67,9836'   29.05.2017
42885      '68,481'    30.05.2017
42886      '67,7313'   31.05.2017
42887      '67,9536'   01.06.2017
42888      '67,4673'   02.06.2017
42889      '66,705'    03.06.2017
42890      '65,3293'   04.06.2017
42891      '65,4154'   05.06.2017
42892      '66,5011'   06.06.2017
42893      '66,0149'   07.06.2017
42894      '66,0189'   08.06.2017
42895      '66,4069'   09.06.2017
42896      '66,0912'   10.06.2017
42897      '65,5164'   11.06.2017
42898      '66,0784'   12.06.2017
42899      '65,7278'   13.06.2017
42900      '65,4532'   14.06.2017
42901      '65,6968'   15.06.2017
42902      '66,0066'   16.06.2017
42903      '64,7771'   17.06.2017
42904      '63,3639'   18.06.2017
42905      '62,6657'   19.06.2017
42906      '61,369'    20.06.2017
42907      '61,811'    21.06.2017
42908      '62,273'    22.06.2017
42909      '63,0786'   23.06.2017
42910      '62,6939'   24.06.2017
42911      '61,3889'   25.06.2017
42912      '61,2708'   26.06.2017
42913      '62,2839'   27.06.2017
42914      '62,11'     28.06.2017
42915      '63,0471'   29.06.2017
42916      '62,5961'   30.06.2017
42917      '62,3638'   01.07.2017
42918      '63,0122'   02.07.2017
42919      '64,9247'   03.07.2017
42920      '63,9391'   04.07.2017
42921      '64,4008'   05.07.2017
42922      '63,9454'   06.07.2017
42923      '63,6481'   07.07.2017
42924      '62,5868'   08.07.2017
42925      '63,201'    09.07.2017
42926      '63,4329'   10.07.2017
42927      '64,5929'   11.07.2017
42928      '64,5941'   12.07.2017
42929      '64,581'    13.07.2017
42930      '65,4366'   14.07.2017
42931      '66,6271'   15.07.2017
42932      '66,7624'   16.07.2017
42933      '65,2988'   17.07.2017
42934      '65,1463'   18.07.2017
42935      '64,7599'   19.07.2017
42936      '64,6114'   20.07.2017
42937      '64,7672'   21.07.2017
42938      '65,8628'   22.07.2017
42939      '65,4144'   23.07.2017
42940      '65,5334'   24.07.2017
42941      '65,8419'   25.07.2017
42942      '66,4697'   26.07.2017
42943      '66,4888'   27.07.2017
42944      '66,6126'   28.07.2017
42945      '67,4841'   29.07.2017
42946      '67,5188'   30.07.2017
